,0
1710,116.4
1711,116.6
1712,116.8
1713,117.0
1714,117.2
1715,117.4
1716,117.6
1717,117.8
1718,118.0
1719,118.2
1720,118.4
1721,118.6
1722,118.8
1723,119.0
1724,119.2
1725,119.4
1726,119.6
1727,119.8
1728,120.0
1729,120.2
1730,120.4
1731,120.6
1732,120.8
1733,121.0
1734,121.2
1735,121.4
1736,121.6
1737,121.8
1738,122.0
1739,122.2
1740,122.4
1741,122.6
1742,122.8
1743,123.0
1744,123.2
1745,123.4
1746,123.6
1747,123.8
1748,124.0
1749,124.2
1750,124.4
1751,124.6
1752,124.8
1753,125.0
1754,125.2
1755,125.4
1756,125.6
1757,125.8
1758,126.0
1759,126.2
1760,126.4
1761,126.6
1762,126.8
1763,127.0
1764,127.2
1765,127.4
1766,127.6
1767,127.8
1768,128.0
1769,128.2
1770,128.4
1771,128.6
1772,128.8
1773,129.0
1774,129.2
1775,129.4
1776,129.6
1777,129.8
1778,130.0
1779,130.2
1780,130.4
1781,130.6
1782,130.8
1783,131.0
1784,131.2
1785,131.4
1786,131.6
1787,131.8
1788,132.0
1789,132.2
1790,132.4
1791,132.6
1792,132.8
1793,133.0
1794,133.2
1795,133.4
1796,133.6
1797,133.8
1798,134.0
1799,134.2
1800,134.4
1801,134.6
1802,134.8
1803,135.0
1804,135.2
1805,135.4
1806,135.6
1807,135.8
1808,136.0
1809,136.2
1810,136.4
1811,136.6
1812,136.8
1813,137.0
1814,137.2
1815,137.4
1816,137.6
1817,137.8
1818,138.0
1819,138.2
1820,138.4
1821,138.6
1822,138.8
1823,139.0
1824,139.2
1825,139.4
1826,139.6
1827,139.8
1828,140.0
1829,140.2
1830,140.4
1831,140.6
1832,140.8
1833,141.0
1834,141.2
1835,141.4
1836,141.6
1837,141.8
1838,142.0
1839,142.2
1840,142.4
1841,142.6
1842,142.8
1843,143.0
1844,143.2
1845,143.4
1846,143.6
1847,143.8
1848,144.0
1849,144.2
1850,144.4
1851,144.6
1852,144.8
1853,145.0
1854,145.2
1855,145.4
1856,145.6
1857,145.8
1858,146.0
1859,146.2
1860,146.4
1861,146.6
1862,146.8
1863,147.0
1864,147.2
1865,147.4
1866,147.6
1867,147.8
1868,148.0
1869,148.2
1870,148.4
1871,148.6
1872,148.8
1873,149.0
1874,149.2
1875,149.4
1876,149.6
1877,149.8
1878,150.0
1879,150.2
1880,150.4
1881,150.6
1882,150.8
1883,151.0
1884,151.2
1885,151.4
1886,151.6
1887,151.8
1888,152.0
1889,152.2
1890,152.4
1891,152.6
1892,152.8
1893,153.0
1894,153.2
1895,153.4
1896,153.6
1897,153.8
1898,154.0
1899,154.2
1900,154.4
1901,154.6
1902,154.8
1903,155.0
1904,155.2
1905,155.4
1906,155.6
1907,155.8
1908,156.0
1909,156.2
1910,156.4
1911,156.6
1912,156.8
1913,157.0
1914,157.2
1915,157.4
1916,157.6
1917,157.8
1918,158.0
1919,158.2
1920,158.4
1921,158.6
1922,158.8
1923,159.0
1924,159.2
